Date,Price
24-Mar-24,"67,211.90"
23-Mar-24,"64,037.80"
22-Mar-24,"63,785.50"
21-Mar-24,"65,503.80"
20-Mar-24,"67,854.00"
19-Mar-24,"62,050.00"
18-Mar-24,"67,594.10"
17-Mar-24,"68,391.20"
16-Mar-24,"65,314.20"
15-Mar-24,"69,463.70"
14-Mar-24,"71,387.50"
13-Mar-24,"73,066.30"
12-Mar-24,"71,470.20"
11-Mar-24,"72,099.10"
10-Mar-24,"68,964.80"
09-Mar-24,"68,366.50"
08-Mar-24,"68,172.00"
07-Mar-24,"66,855.30"
06-Mar-24,"66,080.40"
05-Mar-24,"63,792.60"
04-Mar-24,"68,270.10"
03-Mar-24,"63,135.80"
02-Mar-24,"61,994.50"
01-Mar-24,"62,397.70"
29-Feb-24,"61,169.30"
28-Feb-24,"62,467.60"
27-Feb-24,"57,056.20"
26-Feb-24,"54,495.10"
25-Feb-24,"51,722.70"
24-Feb-24,"51,571.60"
23-Feb-24,"50,740.50"
22-Feb-24,"51,320.40"
21-Feb-24,"51,858.20"
20-Feb-24,"52,263.50"
19-Feb-24,"51,783.60"
18-Feb-24,"52,117.50"
17-Feb-24,"51,646.00"
16-Feb-24,"52,134.20"
15-Feb-24,"51,901.30"
14-Feb-24,"51,782.40"
13-Feb-24,"49,716.00"
12-Feb-24,"49,941.30"
11-Feb-24,"48,277.30"
10-Feb-24,"47,758.20"
09-Feb-24,"47,127.50"
08-Feb-24,"45,293.30"
07-Feb-24,"44,339.80"
06-Feb-24,"43,087.70"
05-Feb-24,"42,697.20"
04-Feb-24,"42,581.40"
03-Feb-24,"43,005.70"
02-Feb-24,"43,194.70"
01-Feb-24,"43,081.40"
31-Jan-24,"42,580.50"
30-Jan-24,"42,946.20"
29-Jan-24,"43,299.80"
28-Jan-24,"42,030.70"
27-Jan-24,"42,120.90"
26-Jan-24,"41,811.30"
25-Jan-24,"39,935.70"
